Glottolog	GB_Feature	Gender_Value
kama1367	GB051	1
kamb1316	GB051	1
kamm1249	GB051	0
kamo1255	GB051	NA
kana1288	GB051	0
kand1301	GB051	NA
kaqc1270	GB051	0
kara1476	GB051	0
kara1482	GB051	0
kara1499	GB051	0
kare1338	GB051	0
kari1311	GB051	0
kaul1240	GB051	NA
kaur1267	GB051	0
kaya1319	GB051	NA
keig1242	GB051	0
kele1255	GB051	0
kele1258	GB051	NA
kelo1247	GB051	NA
keng1240	GB051	0
kera1248	GB051	0
kera1255	GB051	1
keri1250	GB051	0
khan1278	GB051	0
khar1287	GB051	0
khin1240	GB051	1
khva1239	GB051	1
kich1262	GB051	0
kile1243	GB051	0
kili1267	GB051	0
kima1244	GB051	NA
kimm1246	GB051	0
kips1239	GB051	0
kobo1249	GB051	NA
koka1244	GB051	0
koko1269	GB051	0
kolp1236	GB051	1
kona1242	GB051	0
kons1243	GB051	1
koon1244	GB051	0
koor1239	GB051	1
kora1294	GB051	NA
kore1280	GB051	0
kore1283	GB051	1
kork1243	GB051	0
koro1312	GB051	NA
kove1237	GB051	NA
koyr1240	GB051	0
koyr1242	GB051	0
kris1246	GB051	1
kron1241	GB051	1
kryt1240	GB051	1
kuan1248	GB051	NA
kuku1273	GB051	0
kuku1280	GB051	0
kuma1276	GB051	0
kumb1268	GB051	1
kumz1235	GB051	0
kuna1268	GB051	0
kunj1245	GB051	1
kuot1243	GB051	1
kurr1243	GB051	0
kurt1248	GB051	0
kuru1302	GB051	1
kute1248	GB051	0
kuwa1251	GB051	1
kwaz1243	GB051	0
kweg1241	GB051	0
kwin1241	GB051	0
laal1242	GB051	1
labu1249	GB051	0
lafo1243	GB051	0
lagw1237	GB051	1
lakk1252	GB051	1
lama1288	GB051	0
land1256	GB051	NA
lang1324	GB051	0
laoo1244	GB051	0
lard1243	GB051	NA
lavu1241	GB051	1
lazz1240	GB051	0
lele1276	GB051	0
lend1245	GB051	0
lese1243	GB051	0
libi1244	GB051	NA
liby1240	GB051	1
liji1238	GB051	0
lika1243	GB051	0
liki1240	GB051	0
limo1249	GB051	0
ling1263	GB051	0
lito1235	GB051	0
loba1239	GB051	NA
logo1259	GB051	0
loma1260	GB051	0
long1395	GB051	NA
lote1237	GB051	NA
luch1239	GB051	0
lugb1240	GB051	0
lule1254	GB051	0
lund1266	GB051	0
luse1252	GB051	0
maas1239	GB051	0
maba1270	GB051	0
maba1277	GB051	0
maca1259	GB051	1
mach1267	GB051	1
maco1239	GB051	1
macu1259	GB051	1
macu1260	GB051	1
mada1285	GB051	NA
madi1260	GB051	0
maia1253	GB051	NA
maia1254	GB051	0
maip1246	GB051	0
mais1250	GB051	NA
maja1242	GB051	0
maka1311	GB051	NA
makw1236	GB051	0
mala1522	GB051	0
male1284	GB051	1
mali1284	GB051	1
malt1254	GB051	1
mamm1241	GB051	1
mamv1243	GB051	0
mana1295	GB051	0
mand1436	GB051	0
mang1394	GB051	0
mang1403	GB051	NA
mann1248	GB051	0
maon1241	GB051	0
mapu1245	GB051	0
maqu1238	GB051	0
mara1385	GB051	1
mara1396	GB051	NA
marg1253	GB051	0
marg1265	GB051	0
mart1255	GB051	NA
masa1300	GB051	1
mash1270	GB051	1
mats1244	GB051	0
maun1240	GB051	1
mauw1238	GB051	NA
maya1285	GB051	0
mayk1239	GB051	0
mayo1261	GB051	0
mbay1241	GB051	0
mbug1242	GB051	0
meen1242	GB051	0
mehe1243	GB051	1
mehi1240	GB051	1
melo1242	GB051	1
mend1266	GB051	0
mend1268	GB051	NA
meng1267	GB051	0
meny1245	GB051	NA
mera1242	GB051	NA
meri1244	GB051	NA
meta1238	GB051	0
meya1236	GB051	NA
mian1256	GB051	1
mido1240	GB051	0
mids1243	GB051	0
mina1268	GB051	0
mina1276	GB051	0
mini1256	GB051	0
misk1235	GB051	0
miwa1242	GB051	0
miya1259	GB051	0
miya1266	GB051	1
moch1257	GB051	0
molo1266	GB051	NA
mong1338	GB051	0
moni1237	GB051	0
mont1268	GB051	0
monz1249	GB051	0
mopa1243	GB051	0
mori1268	GB051	NA
moro1285	GB051	0
mort1237	GB051	NA
mosi1247	GB051	0
motl1237	GB051	NA
move1241	GB051	NA
muna1247	GB051	NA
mund1320	GB051	0
mund1325	GB051	0
munu1238	GB051	1
murl1244	GB051	0
murr1258	GB051	1
muru1266	GB051	0
muss1246	GB051	0
mwan1250	GB051	0
naas1242	GB051	NA
naba1256	GB051	NA
nade1244	GB051	0
naka1262	GB051	0
nali1244	GB051	NA
nama1264	GB051	1
nami1256	GB051	NA
nand1266	GB051	0
nant1250	GB051	1
nara1262	GB051	0
narr1259	GB051	NA
naru1238	GB051	0
ndam1251	GB051	NA
nden1248	GB051	NA
ndob1238	GB051	0
ndog1248	GB051	0
ndun1249	GB051	NA
ngaa1240	GB051	0
ngab1239	GB051	0
ngal1296	GB051	NA
ngam1268	GB051	0
ngan1295	GB051	1
ngar1235	GB051	0
ngar1284	GB051	1
ngar1285	GB051	1
ngba1285	GB051	0
ngge1241	GB051	NA
ngit1239	GB051	0
ngiy1239	GB051	0
ngom1268	GB051	0
ngur1261	GB051	NA
nhan1238	GB051	0
nhen1239	GB051	0
nias1242	GB051	NA
nica1252	GB051	0
nige1253	GB051	0
niha1238	GB051	0
nina1238	GB051	0
nkor1239	GB051	0
noma1263	GB051	1
noon1242	GB051	1
nort2671	GB051	NA
nort2774	GB051	0
nort2775	GB051	0
nort2795	GB051	0
nort2839	GB051	NA
nort2845	GB051	NA
nort2930	GB051	0
nort2972	GB051	0
nort3047	GB051	0
nort3139	GB051	1
nots1237	GB051	NA
nubi1253	GB051	0
nucl1240	GB051	0
nucl1347	GB051	0
nucl1594	GB051	NA
nucl1622	GB051	1
nucl1643	GB051	0
nucl1706	GB051	1
nuuu1241	GB051	0
nyam1285	GB051	0
nyan1301	GB051	0
nyig1240	GB051	0
nyul1247	GB051	0
nyun1247	GB051	NA
nzad1234	GB051	0
nzak1246	GB051	0
nzak1247	GB051	0
okoe1238	GB051	0
omii1238	GB051	NA
onaa1245	GB051	1
orma1241	GB051	1
orya1242	GB051	1
otor1240	GB051	0
paez1247	GB051	NA
pali1279	GB051	1
pamb1243	GB051	0
pany1241	GB051	0
para1311	GB051	0
para1316	GB051	0
pare1266	GB051	0
pare1272	GB051	0
paun1241	GB051	0
pech1241	GB051	0
peer1241	GB051	0
pele1245	GB051	1
pemo1248	GB051	0
peri1253	GB051	0
phak1238	GB051	0
piap1246	GB051	1
pile1238	GB051	NA
pint1250	GB051	NA
pipi1250	GB051	0
pite1240	GB051	0
pitj1243	GB051	0
pitt1247	GB051	0
plat1254	GB051	NA
poko1263	GB051	0
popt1235	GB051	1
pras1239	GB051	0
psik1239	GB051	0
puin1248	GB051	0
pula1262	GB051	0
pula1263	GB051	0
puyu1239	GB051	0
qanj1241	GB051	1
qaqe1238	GB051	1
qaua1234	GB051	0
qiqi1238	GB051	0
rama1270	GB051	0
ramo1244	GB051	0
rawa1267	GB051	NA
rend1243	GB051	1
renn1242	GB051	NA
resi1247	GB051	1
rita1239	GB051	NA
ronn1241	GB051	1
roto1249	GB051	1
rotu1241	GB051	NA
rovi1238	GB051	NA
rung1258	GB051	0
rutu1240	GB051	1
salt1242	GB051	0
samb1305	GB051	0
samb1311	GB051	0
sana1295	GB051	1
sana1297	GB051	0
sanb1242	GB051	0
sand1273	GB051	1
sant1410	GB051	NA
sanu1240	GB051	NA
sapo1253	GB051	0
sara1321	GB051	0
sara1331	GB051	NA
sasa1249	GB051	0
savo1255	GB051	1
saya1246	GB051	0
sele1249	GB051	0
sele1250	GB051	0
seri1257	GB051	0
shab1252	GB051	1
shek1245	GB051	1
ship1254	GB051	0
siam1242	GB051	0
siar1238	GB051	0
sici1249	GB051	NA
sida1246	GB051	NA
siee1239	GB051	NA
sini1242	GB051	0
sion1247	GB051	1
siro1249	GB051	0
sisi1250	GB051	NA
siwa1245	GB051	1
siwi1239	GB051	1
skol1241	GB051	0
soma1255	GB051	1
soni1259	GB051	0
sooo1256	GB051	0
sora1254	GB051	0
sout2674	GB051	0
sout2741	GB051	0
sout2782	GB051	0
sout2826	GB051	NA
sout2856	GB051	NA
sout2918	GB051	NA
sout2949	GB051	NA
sout3236	GB051	1
stan1318	GB051	1
suab1238	GB051	1
suda1237	GB051	0
sude1239	GB051	NA
suen1241	GB051	0
suku1272	GB051	0
sulk1246	GB051	NA
sund1252	GB051	0
supy1237	GB051	0
surs1246	GB051	NA
suru1262	GB051	NA
susu1250	GB051	0
swed1254	GB051	0
tabo1241	GB051	0
tafi1243	GB051	0
taga1270	GB051	NA
tain1253	GB051	1
tain1254	GB051	NA
taki1248	GB051	NA
tama1331	GB051	0
tani1257	GB051	1
tari1256	GB051	1
tauy1241	GB051	NA
tawa1275	GB051	NA
taya1257	GB051	1
tean1237	GB051	NA
tehu1242	GB051	1
teiw1235	GB051	NA
tekt1235	GB051	0
tele1256	GB051	1
temb1272	GB051	0
tene1248	GB051	0
tenn1246	GB051	0
teoc1236	GB051	0
teop1238	GB051	NA
tere1278	GB051	1
tere1279	GB051	1
teri1250	GB051	0
tetu1245	GB051	NA
thai1261	GB051	0
thay1249	GB051	NA
thur1254	GB051	NA
ticu1245	GB051	NA
tido1248	GB051	NA
tief1242	GB051	0
tiga1245	GB051	NA
tigo1236	GB051	0
tika1246	GB051	0
timn1235	GB051	0
tira1254	GB051	0
tivv1240	GB051	0
tiwi1244	GB051	1
tobe1252	GB051	NA
tojo1241	GB051	0
toll1241	GB051	0
toma1245	GB051	0
tond1249	GB051	0
touo1238	GB051	1
tsis1238	GB051	0
tsou1248	GB051	0
tuca1252	GB051	1
tuge1241	GB051	0
tumu1242	GB051	NA
tung1290	GB051	NA
turk1304	GB051	0
turk1308	GB051	1
tuuu1240	GB051	0
udih1248	GB051	0
udii1243	GB051	0
uduk1239	GB051	0
ukaa1243	GB051	0
ukra1253	GB051	1
ulit1238	GB051	NA
ulwa1239	GB051	0
uman1240	GB051	NA
umes1235	GB051	0
umii1235	GB051	1
unaa1239	GB051	NA
unea1237	GB051	0
ungg1243	GB051	1
uppe1422	GB051	NA
urar1246	GB051	0
usan1239	GB051	0
veps1250	GB051	0
voti1245	GB051	0
waga1260	GB051	1
waja1257	GB051	0
waja1259	GB051	0
walm1241	GB051	0
wamb1258	GB051	1
wamb1259	GB051	0
wanm1242	GB051	0
wann1242	GB051	0
waor1240	GB051	NA
wapi1253	GB051	1
warl1254	GB051	NA
warl1256	GB051	NA
warr1255	GB051	0
warr1258	GB051	0
waru1264	GB051	1
waru1265	GB051	0
wask1241	GB051	NA
wath1238	GB051	0
waur1244	GB051	0
wawa1246	GB051	0
wayu1243	GB051	1
west2458	GB051	NA
west2466	GB051	0
west2599	GB051	0
west2635	GB051	1
whit1269	GB051	0
wikm1247	GB051	0
wila1240	GB051	0
winj1235	GB051	1
wira1262	GB051	NA
wira1265	GB051	0
woiw1237	GB051	0
wola1253	GB051	1
woly1239	GB051	1
worr1237	GB051	1
woun1238	GB051	0
wuna1249	GB051	0
wurl1240	GB051	1
wuvu1239	GB051	NA
xara1244	GB051	NA
xinc1242	GB051	0
xinc1243	GB051	0
xinc1246	GB051	0
xink1235	GB051	0
yabe1254	GB051	NA
yagu1244	GB051	1
yaka1272	GB051	0
yakk1236	GB051	0
yala1262	GB051	0
yand1253	GB051	0
yane1238	GB051	NA
yano1262	GB051	0
yany1243	GB051	1
yaou1238	GB051	0
yavi1244	GB051	0
yawu1244	GB051	0
yele1255	GB051	0
